"","geo_merge","cases_final","case_rate_final","adj_case_rate_final","deaths_final","death_rate_final","adj_death_rate_final","population"
"112","Los Angeles - Del Rey",248,828,823,7,23,18,29936
"113","Los Angeles - Downtown",540,1963,1956,12,44,31,27507
"114","Los Angeles - Eagle Rock",468,1182,1140,18,45,32,39589
"115","Los Angeles - East Hollywood",482,1646,1529,42,143,124,29287
"116","Los Angeles - Echo Park",158,1108,1092,3,21,22,14256
"117","Los Angeles - El Sereno",830,1985,1942,27,65,61,41808
"118","Los Angeles - Elysian Park",71,1243,1169,0,0,0,5712
"119","Los Angeles - Elysian Valley",173,1701,1630,1,10,9,10171
"120","Los Angeles - Encino",383,848,880,14,31,15,45172
"121","Los Angeles - Exposition",56,1684,1589,1,30,29,3326
"122","Los Angeles - Exposition Park",925,2059,2111,19,42,56,44917
"123","Los Angeles - Faircrest Heights",26,722,651,2,56,46,3600
"124","Los Angeles - Figueroa Park Square",226,2591,2587,0,0,0,8721
"125","Los Angeles - Florence-Firestone",1685,3551,3606,21,44,63,47445
"126","Los Angeles - Glassell Park",487,1541,1490,9,28,24,31604
"127","Los Angeles - Gramercy Place",176,1635,1687,4,37,24,10764
"128","Los Angeles - Granada Hills",821,1411,1297,56,96,70,58191
"129","Los Angeles - Green Meadows",676,3143,3176,8,37,48,21505
"130","Los Angeles - Hancock Park",170,998,1004,3,18,17,17039
"131","Los Angeles - Harbor City",350,1204,1192,9,31,25,29070
"132","Los Angeles - Harbor Gateway",635,1456,1421,9,21,22,43600
"133","Los Angeles - Harbor Pines",14,581,654,0,0,0,2409
"134","Los Angeles - Harvard Heights",406,2251,2208,21,116,139,18035
"135","Los Angeles - Harvard Park",1130,2979,2949,16,42,45,37935
"136","Los Angeles - Highland Park",784,1620,1584,15,31,33,48391
"137","Los Angeles - Historic Filipinotown",314,2264,2106,11,79,73,13870
"138","Los Angeles - Hollywood",850,1245,1118,8,12,12,68254
"139","Los Angeles - Hollywood Hills",219,744,817,6,20,19,29434
"140","Los Angeles - Hyde Park",562,1969,1929,12,42,36,28541
"141","Los Angeles - Jefferson Park",191,2366,2331,0,0,0,8073
"142","Los Angeles - Koreatown",830,1606,1548,22,43,41,51693
"143","Los Angeles - Lafayette Square",61,1338,1304,2,44,44,4559
"144","Los Angeles - Lake Balboa",666,1578,1564,12,28,31,42206
"145","Los Angeles - Lakeview Terrace",402,3061,3041,19,145,163,13133
"146","Los Angeles - Leimert Park",225,1477,1476,4,26,17,15235
"147","Los Angeles - Lincoln Heights",809,2482,2424,41,126,107,32597
"148","Los Angeles - Little Armenia",311,3875,3286,45,561,451,8025
"149","Los Angeles - Little Bangladesh",359,1267,1263,5,18,19,28343
"150","Los Angeles - Little Tokyo",52,1660,1608,2,64,21,3133
"151","Los Angeles - Longwood",90,2091,2032,0,0,0,4304
"152","Los Angeles - Los Feliz",142,657,684,2,9,6,21608
"153","Los Angeles - Manchester Square",118,1382,1376,1,12,9,8536
"154","Los Angeles - Mandeville Canyon",18,576,866,0,0,0,3124
"155","Los Angeles - Mar Vista",234,551,560,5,12,9,42471
"156","Los Angeles - Marina Peninsula",27,619,578,0,0,0,4360
"157","Los Angeles - Melrose",1411,1816,1782,50,64,67,77696
"158","Los Angeles - Mid-city",230,1530,1458,20,133,120,15030
"159","Los Angeles - Miracle Mile",121,673,624,5,28,25,17985
"160","Los Angeles - Mission Hills",507,2102,2025,17,70,67,24124
"161","Los Angeles - Mt. Washington",374,1549,1502,11,46,42,24145
"162","Los Angeles - North Hills",1228,1994,1963,34,55,65,61575
"163","Los Angeles - North Hollywood",2307,1524,1449,42,28,31,151421
"164","Los Angeles - Northridge",982,1407,1371,39,56,45,69797
"165","Los Angeles - Pacific Palisades",97,456,541,3,14,6,21291
"166","Los Angeles - Pacoima",2244,2915,2928,32,42,54,76979
"167","Los Angeles - Palisades Highlands",18,468,530,0,0,0,3846
"168","Los Angeles - Palms",417,950,1038,28,64,84,43877
"169","Los Angeles - Panorama City",1878,2496,2537,76,101,135,75250
"170","Los Angeles - Park La Brea",83,611,512,1,7,8,13580
"171","Los Angeles - Pico-Union",1389,3320,3350,78,186,221,41842
"172","Los Angeles - Playa Del Rey",19,594,713,0,0,0,3196
"173","Los Angeles - Playa Vista",99,904,827,0,0,0,10947
"174","Los Angeles - Porter Ranch",234,658,697,6,17,10,35588
"175","Los Angeles - Rancho Park",60,915,1066,1,15,11,6560
"176","Los Angeles - Regent Square",21,755,731,0,0,0,2780
"177","Los Angeles - Reseda",1555,2030,1966,62,81,74,76617
"178","Los Angeles - Reseda Ranch",78,1682,1551,0,0,0,4636
"179","Los Angeles - Reynier Village",27,639,694,0,0,0,4228
"180","Los Angeles - San Pedro",1531,1962,1952,23,29,27,78038
"181","Los Angeles - Shadow Hills",36,810,969,0,0,0,4442
"182","Los Angeles - Sherman Oaks",709,813,869,14,16,14,87254
"183","Los Angeles - Silverlake",460,1043,1050,16,36,32,44083
"184","Los Angeles - South Carthay",80,755,913,1,9,6,10595
"185","Los Angeles - South Park",1477,3891,3964,21,55,76,37961
"186","Los Angeles - St Elmo Village",104,2269,2422,8,175,264,4584
"187","Los Angeles - Studio City",186,829,921,9,40,35,22440
"188","Los Angeles - Sun Valley",971,1850,1782,15,29,30,52483
"189","Los Angeles - Sunland",330,1617,1509,25,122,87,20408
"190","Los Angeles - Sycamore Square",4,618,445,0,0,0,647
"191","Los Angeles - Sylmar",2210,2682,2665,59,72,88,82398
"192","Los Angeles - Tarzana",488,1581,1445,36,117,73,30876
"193","Los Angeles - Temple-Beaudry",907,2297,2205,21,53,61,39482
"194","Los Angeles - Thai Town",105,1070,1008,0,0,0,9809
"195","Los Angeles - Toluca Lake",76,873,1041,0,0,0,8704
"196","Los Angeles - Toluca Terrace",17,1302,1390,1,77,72,1306
"197","Los Angeles - Toluca Woods",14,754,771,0,0,0,1858
"198","Los Angeles - Tujunga",272,978,940,11,40,33,27810
"199","Los Angeles - University Hills",44,1283,1307,1,29,19,3429
"200","Los Angeles - University Park",560,2040,2920,15,55,98,27456
"201","Los Angeles - Valley Glen",384,1279,1230,14,47,46,30016
"202","Los Angeles - Valley Village",395,1598,1536,23,93,76,24720
"203","Los Angeles - Van Nuys",1906,2045,2043,59,63,78,93194
"204","Los Angeles - Venice",199,587,750,2,6,6,33885
"205","Los Angeles - Vermont Knolls",528,3070,3049,11,64,80,17200
"206","Los Angeles - Vermont Square",249,3252,3217,2,26,24,7657
"207","Los Angeles - Vermont Vista",1354,3288,3380,18,44,68,41186
"208","Los Angeles - Vernon Central",2164,4162,4256,30,58,84,51998
"209","Los Angeles - Victoria Park",143,1703,1638,2,24,20,8399
"210","Los Angeles - View Heights",29,785,777,2,54,42,3694
"211","Los Angeles - Watts",1319,3091,3269,17,40,71,42674
"212","Los Angeles - Wellington Square",88,1790,1772,0,0,0,4915
"213","Los Angeles - West Adams",651,2356,2305,31,112,118,27630
"214","Los Angeles - West Hills",373,920,898,30,74,45,40545
"215","Los Angeles - West Los Angeles",367,975,977,11,29,34,37636
"216","Los Angeles - West Vernon",1614,3009,2992,35,65,84,53644
"217","Los Angeles - Westchester",287,556,535,13,25,22,51603
"218","Los Angeles - Westlake",1897,3196,3241,116,195,225,59355
"219","Los Angeles - Westwood",241,445,396,5,9,9,54109
"220","Los Angeles - Wholesale District",1896,5248,4510,21,58,69,36129
"221","Los Angeles - Wilmington",1151,2038,2033,9,16,20,56487
"222","Los Angeles - Wilshire Center",814,1622,1574,27,54,53,50170
"223","Los Angeles - Winnetka",858,1657,1590,12,23,23,51786
"224","Los Angeles - Woodland Hills",629,924,918,22,32,20,68055
"225","Unincorporated - Acton",42,527,606,2,25,18,7971
"226","Unincorporated - Agua Dulce",19,457,511,0,0,0,4158
"227","Unincorporated - Altadena",440,1009,1047,11,25,20,43620
"228","Unincorporated - Anaverde",8,530,654,0,0,0,1508
"229","Unincorporated - Angeles National Forest",4,321,310,0,0,0,1245
"230","Unincorporated - Arcadia",70,877,902,1,13,11,7981
"231","Unincorporated - Athens Village",155,3165,3203,6,123,122,4897
"232","Unincorporated - Athens-Westmont",1083,2552,2560,17,40,44,42442
"233","Unincorporated - Avocado Heights",189,2790,2756,1,15,14,6775
"234","Unincorporated - Azusa",350,2198,2120,2,13,17,15923
"235","Unincorporated - Bassett",475,3206,3156,7,47,47,14817
"236","Unincorporated - Bouquet Canyon",1,93,82,1,93,82,1073
"237","Unincorporated - Bradbury",4,3704,303,1,926,255,108
"238","Unincorporated - Canyon Country",79,1022,1074,0,0,0,7728
"239","Unincorporated - Castaic",1857,6829,6227,4,15,14,27191
"240","Unincorporated - Cerritos",11,1874,1797,0,0,0,587
"241","Unincorporated - Claremont",3,427,362,0,0,0,702
"242","Unincorporated - Covina",304,1807,1768,4,24,23,16819
"243","Unincorporated - Covina (Charter Oak)",226,1719,1722,0,0,0,13144
"244","Unincorporated - Del Aire",49,1115,1089,1,23,25,4393
"245","Unincorporated - Del Rey",1,314,425,0,0,0,318
"246","Unincorporated - Del Sur",7,290,263,1,41,20,2415
"247","Unincorporated - Desert View Highlands",24,963,882,1,40,24,2493
"248","Unincorporated - Duarte",84,1897,1873,2,45,52,4428
"249","Unincorporated - East Covina",4,1216,1379,0,0,0,329
"250","Unincorporated - East La Mirada",74,1398,1386,0,0,0,5292
"251","Unincorporated - East Los Angeles",4450,3552,3556,69,55,64,125269
"252","Unincorporated - East Pasadena",47,734,664,1,16,9,6403
"253","Unincorporated - East Rancho Dominguez",466,3044,3013,7,46,55,15308
"254","Unincorporated - East Whittier",53,999,988,0,0,0,5306
"255","Unincorporated - El Camino Village",106,1206,1202,3,34,24,8791
"256","Unincorporated - El Monte",6,4138,6162,0,0,0,145
"257","Unincorporated - Elizabeth Lake",5,301,302,0,0,0,1661
"258","Unincorporated - Florence-Firestone",2446,3780,3818,31,48,63,64705
"259","Unincorporated - Glendora",5,758,1124,0,0,0,660
"260","Unincorporated - Hacienda Heights",715,1278,1254,5,9,7,55926
"261","Unincorporated - Hawthorne",44,1750,1655,0,0,0,2514
"262","Unincorporated - Hi Vista",2,182,292,0,0,0,1098
"263","Unincorporated - Kagel/Lopez Canyons",19,1346,1635,1,71,113,1412
"264","Unincorporated - La Crescenta-Montrose",115,581,598,1,5,3,19801
"265","Unincorporated - La Rambla",70,3373,2684,10,482,307,2075
"266","Unincorporated - La Verne",20,980,1194,0,0,0,2040
"267","Unincorporated - Ladera Heights",60,849,801,3,42,19,7071
"268","Unincorporated - Lake Hughes",1,150,192,0,0,0,668
"269","Unincorporated - Lake Los Angeles",132,1016,1004,2,15,25,12994
"270","Unincorporated - Lake Manor",14,852,900,0,0,0,1643
"271","Unincorporated - Lennox",465,2063,2050,3,13,24,22542
"272","Unincorporated - Leona Valley",15,857,944,0,0,0,1751
"273","Unincorporated - Littlerock",49,1219,1206,0,0,0,4021
"274","Unincorporated - Littlerock/Juniper Hills",6,463,666,0,0,0,1297
"275","Unincorporated - Littlerock/Pearblossom",54,1513,1535,0,0,0,3569
"276","Unincorporated - Llano",2,228,158,0,0,0,877
"277","Unincorporated - Marina del Rey",53,563,447,1,11,13,9411
"278","Unincorporated - Monrovia",66,1701,1780,0,0,0,3881
"279","Unincorporated - Newhall",5,2273,1745,0,0,0,220
"280","Unincorporated - North Lancaster",17,1419,1828,0,0,0,1198
"281","Unincorporated - North Whittier",140,1675,1667,5,60,55,8360
"282","Unincorporated - Northeast San Gabriel",241,1003,1036,6,25,23,24036
"283","Unincorporated - Palmdale",16,1900,2088,0,0,0,842
"284","Unincorporated - Palos Verdes Peninsula",3,483,729,0,0,0,621
"285","Unincorporated - Pearblossom/Llano",16,818,755,1,51,20,1956
"286","Unincorporated - Pellissier Village",19,3069,2964,0,0,0,619
"287","Unincorporated - Pomona",9,464,1105,1,52,86,1938
"288","Unincorporated - Quartz Hill",118,914,879,10,77,58,12906
"289","Unincorporated - Rancho Dominguez",60,2255,2197,1,38,18,2661
"290","Unincorporated - Roosevelt",4,430,314,0,0,0,931
"291","Unincorporated - Rosewood",16,1244,1527,0,0,0,1286
"292","Unincorporated - Rosewood/East Gardena",14,1174,1074,0,0,0,1193
"293","Unincorporated - Rowland Heights",462,905,913,10,20,14,51022
"294","Unincorporated - San Jose Hills",494,2443,2406,7,35,35,20221
"295","Unincorporated - San Pasqual",8,393,417,0,0,0,2035
"296","Unincorporated - Sand Canyon",3,974,661,0,0,0,308
"297","Unincorporated - Santa Catalina Island",7,2622,4775,0,0,0,267
"298","Unincorporated - Santa Monica Mountains",83,446,528,1,5,2,18621
"299","Unincorporated - Saugus",13,8387,8311,0,0,0,155
"300","Unincorporated - Saugus/Canyon Country",1,281,538,0,0,0,356
"301","Unincorporated - South Antelope Valley",1,220,256,0,0,0,455
"302","Unincorporated - South El Monte",57,3175,3001,0,0,0,1795
"303","Unincorporated - South San Gabriel",129,1458,1361,5,57,40,8848
"304","Unincorporated - South Whittier",1154,1949,1889,18,30,34,59222
"305","Unincorporated - Southeast Antelope Valley",11,1408,1538,0,0,0,781
"306","Unincorporated - Stevenson Ranch",111,529,525,2,10,12,20966
"307","Unincorporated - Sun Village",94,1557,1584,1,17,11,6036
"308","Unincorporated - Sunrise Village",38,2932,3167,0,0,0,1296
"309","Unincorporated - Twin Lakes/Oat Mountain",9,543,562,1,60,78,1658
"310","Unincorporated - Val Verde",44,1330,1213,1,30,50,3309
"311","Unincorporated - Valencia",34,1107,1910,1,33,258,3072
"312","Unincorporated - Valinda",535,2289,2255,3,13,12,23371
"313","Unincorporated - View Park/Windsor Hills",103,885,932,2,17,7,11635
"314","Unincorporated - Walnut Park",520,3221,3167,8,50,56,16143
"315","Unincorporated - West Antelope Valley",3,199,248,0,0,0,1511
"316","Unincorporated - West Carson",272,1232,1104,20,91,54,22086
"317","Unincorporated - West LA",35,3676,3561,2,210,67,952
"318","Unincorporated - West Puente Valley",272,2766,2711,0,0,0,9835
"319","Unincorporated - West Rancho Dominguez",18,1324,1277,3,221,184,1359
"320","Unincorporated - West Whittier/Los Nietos",664,2466,2411,8,30,29,26925
"321","Unincorporated - Westfield/Academy Hills",4,308,402,0,0,0,1300
"322","Unincorporated - Westhills",8,954,1424,0,0,0,839
"323","Unincorporated - White Fence Farms",35,950,956,0,0,0,3683
"324","Unincorporated - Whittier",51,1348,1284,0,0,0,3784
"325","Unincorporated - Willowbrook",1052,3013,3051,17,49,56,34913
"326","Unincorporated - Wiseburn",94,1560,1456,0,0,0,6027
"327","Unincorporated - East Lancaster",0,0,0,0,0,0,114
"328","Unincorporated - Harbor Gateway",0,0,0,0,0,0,1
"329","Unincorporated - La Habra Heights",0,0,0,0,0,0,676
"330","Unincorporated - Placerita Canyon",0,0,0,0,0,0,460
"331","Unincorporated - Whittier Narrows",0,0,0,0,0,0,12
